epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,762.625,1.19196,0.58179,0.94824,0.97942,0.95218,0.97615,0.68845,1.07125,0.49929,0.92458,0.00333228,0.00333228,0.00333228
2,1450.1,1.12149,0.54557,0.92552,0.98268,0.95868,0.9816,0.7057,1.02973,0.47319,0.91232,0.00659962,0.00659962,0.00659962
3,2119.39,1.14013,0.55264,0.92735,0.98002,0.96011,0.98362,0.71144,1.01555,0.47145,0.91073,0.00980096,0.00980096,0.00980096
4,2787.59,1.17461,0.57196,0.93346,0.98133,0.95967,0.98359,0.71776,0.99478,0.46334,0.90701,0.009703,0.009703,0.009703
5,3455.86,1.15085,0.56239,0.92719,0.98285,0.95938,0.986,0.72106,0.97281,0.46214,0.89917,0.009604,0.009604,0.009604
6,4124.17,1.13196,0.55244,0.9247,0.98391,0.96086,0.98643,0.72849,0.9394,0.44693,0.89187,0.009505,0.009505,0.009505
7,4792.04,1.11796,0.54293,0.92266,0.98292,0.96267,0.98754,0.73307,0.92649,0.43996,0.8869,0.009406,0.009406,0.009406
8,5460.66,1.10547,0.54013,0.91708,0.98436,0.96501,0.98859,0.74265,0.91622,0.43008,0.8863,0.009307,0.009307,0.009307
9,6128.86,1.08669,0.52607,0.91447,0.98312,0.96612,0.98888,0.74821,0.89789,0.41992,0.88171,0.009208,0.009208,0.009208
10,6796.82,1.07154,0.52292,0.9108,0.98484,0.96487,0.98999,0.75696,0.86373,0.40942,0.87258,0.009109,0.009109,0.009109
11,7465.05,1.06747,0.52014,0.9103,0.98698,0.96597,0.99042,0.76924,0.84712,0.40366,0.8715,0.00901,0.00901,0.00901
12,8133.53,1.05088,0.51228,0.90646,0.98506,0.96579,0.99045,0.75697,0.8719,0.41246,0.87299,0.008911,0.008911,0.008911
13,8802.14,1.04801,0.50883,0.90504,0.98671,0.96845,0.99064,0.77163,0.83646,0.3936,0.86984,0.008812,0.008812,0.008812
14,9470.63,1.02823,0.49893,0.8991,0.98614,0.97082,0.99157,0.76802,0.83397,0.38627,0.86743,0.008713,0.008713,0.008713
15,10138.9,1.0252,0.49846,0.89922,0.98774,0.97019,0.99215,0.78096,0.81014,0.37873,0.86392,0.008614,0.008614,0.008614
16,10806.8,1.01949,0.49341,0.89754,0.989,0.96869,0.99206,0.7829,0.80431,0.37621,0.86244,0.008515,0.008515,0.008515
17,11475.1,1.0133,0.49116,0.89947,0.98754,0.97232,0.99223,0.78507,0.79419,0.37173,0.86125,0.008416,0.008416,0.008416
18,12143.2,1.003,0.48529,0.8946,0.98965,0.97182,0.9926,0.78852,0.7849,0.36788,0.85976,0.008317,0.008317,0.008317
19,12811.3,1.00328,0.48455,0.89481,0.98742,0.97193,0.99258,0.78914,0.77982,0.36653,0.85808,0.008218,0.008218,0.008218
20,13479.4,0.98788,0.47725,0.89126,0.98719,0.97278,0.99226,0.79059,0.77445,0.3625,0.85748,0.008119,0.008119,0.008119
21,14147.7,0.98253,0.47458,0.88925,0.98845,0.97328,0.99317,0.79218,0.76902,0.35666,0.85553,0.00802,0.00802,0.00802
22,14815.7,0.9786,0.47528,0.89157,0.9882,0.97527,0.99289,0.79702,0.75928,0.35386,0.85472,0.007921,0.007921,0.007921
23,15484.2,0.97597,0.46955,0.889,0.98837,0.97388,0.99322,0.80066,0.75275,0.35076,0.85222,0.007822,0.007822,0.007822
24,16152.6,0.96429,0.46624,0.88654,0.98839,0.97648,0.99346,0.80231,0.74767,0.34599,0.85108,0.007723,0.007723,0.007723
25,16821.2,0.95957,0.46381,0.88567,0.98638,0.97581,0.99323,0.8049,0.74016,0.34723,0.85037,0.007624,0.007624,0.007624
26,17489.2,0.95585,0.46086,0.88491,0.98926,0.9746,0.99335,0.80853,0.72879,0.34051,0.84816,0.007525,0.007525,0.007525
27,18157.5,0.94703,0.45828,0.88318,0.98862,0.97658,0.99341,0.80883,0.72612,0.33856,0.8469,0.007426,0.007426,0.007426
28,18826.2,0.93981,0.45383,0.88282,0.9902,0.97631,0.9937,0.81143,0.71627,0.3337,0.84515,0.007327,0.007327,0.007327
29,19494.4,0.94018,0.45415,0.88318,0.98754,0.97699,0.99364,0.81297,0.7189,0.33362,0.8452,0.007228,0.007228,0.007228
30,20162.2,0.92997,0.4462,0.87906,0.98796,0.97845,0.99377,0.81658,0.7126,0.33082,0.84331,0.007129,0.007129,0.007129
31,20830.5,0.93169,0.44878,0.87995,0.98973,0.9774,0.99393,0.81845,0.70783,0.32774,0.84307,0.00703,0.00703,0.00703
32,21498.5,0.92821,0.44696,0.8788,0.99044,0.9756,0.99375,0.81832,0.7061,0.32648,0.84234,0.006931,0.006931,0.006931
33,22166.3,0.92115,0.44403,0.87677,0.9884,0.97817,0.99393,0.82033,0.69931,0.32235,0.84187,0.006832,0.006832,0.006832
34,22834,0.9188,0.44407,0.87763,0.98907,0.97741,0.99398,0.82339,0.69336,0.32163,0.84163,0.006733,0.006733,0.006733
35,23503.5,0.91527,0.43976,0.87796,0.99089,0.97849,0.99407,0.8228,0.69313,0.31841,0.84091,0.006634,0.006634,0.006634
36,24171.9,0.90943,0.43935,0.87445,0.99096,0.97797,0.99406,0.82645,0.68019,0.31635,0.83837,0.006535,0.006535,0.006535
37,24840.5,0.90498,0.43639,0.87443,0.98823,0.98033,0.99404,0.82765,0.67716,0.31418,0.83854,0.006436,0.006436,0.006436
38,25508.6,0.90236,0.43528,0.87364,0.98904,0.97963,0.99409,0.82829,0.67354,0.31318,0.83754,0.006337,0.006337,0.006337
39,26178.2,0.89745,0.43046,0.87143,0.98951,0.97979,0.99409,0.83007,0.67257,0.31059,0.83708,0.006238,0.006238,0.006238
40,26848.5,0.89612,0.43022,0.87212,0.98963,0.98145,0.99415,0.8296,0.66949,0.30795,0.8368,0.006139,0.006139,0.006139
41,27519.2,0.89358,0.43065,0.87207,0.98908,0.98121,0.99413,0.82981,0.66929,0.30728,0.83605,0.00604,0.00604,0.00604
42,28187.3,0.88298,0.42531,0.86975,0.99013,0.98087,0.99419,0.83049,0.66664,0.30594,0.83572,0.005941,0.005941,0.005941
43,28855.5,0.88531,0.42463,0.8708,0.98929,0.98402,0.99425,0.8332,0.66119,0.30404,0.83525,0.005842,0.005842,0.005842
44,29524.5,0.87625,0.42169,0.869,0.98981,0.98334,0.99427,0.83368,0.65931,0.30328,0.83421,0.005743,0.005743,0.005743
45,30192.1,0.88092,0.42253,0.86856,0.99015,0.9825,0.99426,0.83435,0.65523,0.30141,0.83304,0.005644,0.005644,0.005644
46,30860.8,0.87165,0.42036,0.86711,0.98934,0.9827,0.9943,0.83597,0.65176,0.29993,0.83244,0.005545,0.005545,0.005545
47,31530.6,0.86448,0.41601,0.86519,0.98869,0.98242,0.99431,0.83534,0.65133,0.29973,0.83221,0.005446,0.005446,0.005446
48,32201,0.86511,0.41779,0.86537,0.98937,0.98277,0.99431,0.83691,0.64396,0.29759,0.83109,0.005347,0.005347,0.005347
49,32872.3,0.86105,0.4141,0.86452,0.98965,0.98326,0.99436,0.83831,0.64363,0.29701,0.831,0.005248,0.005248,0.005248
