epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.591,2.36026,1.59854,1.0961,0.66556,0.53337,0.55777,0.22254,2.52269,1.83063,1.05479,0.00333186,0.00333186,0.00333186
2,449.236,1.71409,0.93081,0.91516,0.78334,0.67873,0.70889,0.29584,2.27545,1.47203,1.03375,0.0066212,0.0066212,0.0066212
3,654.167,1.6058,0.84166,0.89962,0.77193,0.6618,0.674,0.27723,2.34529,1.52321,1.05891,0.00986654,0.00986654,0.00986654
4,859.454,1.54761,0.79463,0.88671,0.74671,0.64257,0.65052,0.27604,2.33442,1.4535,1.06081,0.009802,0.009802,0.009802
5,1064.51,1.47959,0.74868,0.87842,0.75046,0.66212,0.6456,0.25949,2.3052,1.45042,1.01094,0.009736,0.009736,0.009736
6,1269.8,1.43081,0.71743,0.87262,0.76628,0.66561,0.66826,0.27833,2.32629,1.49427,1.07568,0.00967,0.00967,0.00967
7,1474.32,1.39238,0.6903,0.86507,0.77403,0.66512,0.67565,0.28591,2.31637,1.392,1.04678,0.009604,0.009604,0.009604
8,1679.78,1.35123,0.66413,0.86252,0.78711,0.6484,0.67367,0.28626,2.35326,1.49098,1.05748,0.009538,0.009538,0.009538
9,1886.68,1.33411,0.65458,0.85932,0.7717,0.67452,0.68963,0.28465,2.28836,1.41945,1.02196,0.009472,0.009472,0.009472
10,2092.06,1.29254,0.62981,0.85376,0.74489,0.64025,0.63612,0.24629,2.4039,1.51619,1.06105,0.009406,0.009406,0.009406
11,2296.13,1.26942,0.61916,0.85179,0.76697,0.68266,0.67246,0.27934,2.30853,1.43838,1.04476,0.00934,0.00934,0.00934
12,2500.62,1.25382,0.61174,0.84867,0.75228,0.67573,0.67205,0.26943,2.39118,1.46292,1.0686,0.009274,0.009274,0.009274
13,2705.04,1.22604,0.59704,0.84539,0.77211,0.67374,0.6798,0.26659,2.40524,1.44086,1.06194,0.009208,0.009208,0.009208
14,2908.96,1.20823,0.58524,0.844,0.76653,0.67567,0.6821,0.2773,2.39341,1.50597,1.08648,0.009142,0.009142,0.009142
15,3113.59,1.19955,0.57995,0.84396,0.77805,0.67941,0.69132,0.268,2.41983,1.41867,1.09068,0.009076,0.009076,0.009076
16,3318.57,1.17946,0.57003,0.84048,0.77261,0.66208,0.68505,0.28703,2.30208,1.40868,1.05338,0.00901,0.00901,0.00901
