epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.032,1.30576,0.65809,0.90253,0.80414,0.72455,0.72112,0.29652,2.23609,1.33658,1.10584,0.00333038,0.00333038,0.00333038
2,348.123,1.27708,0.63722,0.89717,0.79648,0.71112,0.70452,0.29638,2.20923,1.30365,1.10424,0.00659775,0.00659775,0.00659775
3,509.4,1.32593,0.66281,0.9058,0.83354,0.73974,0.76328,0.34302,2.0708,1.27463,1.08194,0.00979911,0.00979911,0.00979911
4,665.93,1.3524,0.68456,0.91167,0.83928,0.74426,0.74296,0.32513,2.07834,1.26291,1.06463,0.009703,0.009703,0.009703
5,820.867,1.32585,0.66641,0.90511,0.7183,0.61966,0.60488,0.22637,2.3961,1.59185,1.11025,0.009604,0.009604,0.009604
6,976.364,1.29313,0.65137,0.89781,0.82617,0.71214,0.72206,0.29076,2.19278,1.35406,1.08561,0.009505,0.009505,0.009505
7,1131.36,1.27552,0.63706,0.89327,0.85173,0.75794,0.75327,0.31748,2.16036,1.29395,1.09871,0.009406,0.009406,0.009406
8,1285.4,1.24467,0.62333,0.88947,0.83107,0.73416,0.74559,0.30415,2.17493,1.31012,1.07504,0.009307,0.009307,0.009307
9,1439.62,1.22962,0.61165,0.88733,0.79788,0.69081,0.70209,0.2903,2.27997,1.38881,1.13173,0.009208,0.009208,0.009208
10,1598.49,1.21187,0.60416,0.88518,0.83352,0.742,0.7558,0.32977,2.06145,1.22482,1.05008,0.009109,0.009109,0.009109
11,1755.06,1.19329,0.594,0.88245,0.82287,0.74327,0.74422,0.30791,2.14229,1.22668,1.07874,0.00901,0.00901,0.00901
12,1912.45,1.16744,0.57923,0.87676,0.84917,0.75872,0.77565,0.32904,2.08314,1.21438,1.05078,0.008911,0.008911,0.008911
13,2068.3,1.14522,0.5653,0.87354,0.85814,0.78106,0.79941,0.3395,2.0705,1.20369,1.05661,0.008812,0.008812,0.008812
14,2225.18,1.14091,0.56684,0.87074,0.84608,0.75182,0.76807,0.32347,2.10792,1.19539,1.04981,0.008713,0.008713,0.008713
15,2379.39,1.13468,0.56375,0.87091,0.85182,0.77252,0.79099,0.34629,2.02779,1.17786,1.0445,0.008614,0.008614,0.008614
16,2534.58,1.10847,0.54851,0.8661,0.81859,0.73449,0.74029,0.30665,2.12099,1.34066,1.06623,0.008515,0.008515,0.008515
17,2692.62,1.09996,0.54432,0.86478,0.83701,0.73313,0.73592,0.30727,2.10225,1.25343,1.05261,0.008416,0.008416,0.008416
18,2849.35,1.08477,0.53506,0.86488,0.851,0.75999,0.77166,0.32601,2.08446,1.22781,1.05932,0.008317,0.008317,0.008317
19,3006.68,1.07724,0.5359,0.86281,0.86467,0.74915,0.78556,0.33737,2.10157,1.24884,1.06312,0.008218,0.008218,0.008218
20,3162.39,1.0669,0.52712,0.86312,0.87424,0.78061,0.8079,0.3372,2.07913,1.22461,1.06744,0.008119,0.008119,0.008119
21,3320.25,1.05258,0.52191,0.85998,0.84584,0.76726,0.78813,0.33819,2.05568,1.19443,1.0397,0.00802,0.00802,0.00802
22,3477.8,1.04317,0.51496,0.85651,0.85123,0.7656,0.7891,0.34122,2.06887,1.22208,1.068,0.007921,0.007921,0.007921
23,3634.56,1.02724,0.50861,0.85515,0.82696,0.73838,0.75128,0.30271,2.11111,1.25445,1.06563,0.007822,0.007822,0.007822
24,3793.16,1.0212,0.50655,0.85348,0.85307,0.77022,0.7827,0.32434,2.05041,1.1915,1.03393,0.007723,0.007723,0.007723
25,3950.45,1.0164,0.5013,0.85293,0.88981,0.78336,0.81965,0.35933,2.02513,1.19936,1.04359,0.007624,0.007624,0.007624
26,4107.3,1.01841,0.50105,0.85265,0.85027,0.75934,0.77909,0.32394,2.06584,1.21742,1.04333,0.007525,0.007525,0.007525
27,4262.97,0.99512,0.49327,0.8503,0.86113,0.77423,0.78772,0.33302,2.07988,1.19832,1.04993,0.007426,0.007426,0.007426
28,4420.38,0.98377,0.48694,0.84831,0.86575,0.76544,0.79582,0.33679,2.07418,1.20278,1.05584,0.007327,0.007327,0.007327
29,4575.52,0.97862,0.48416,0.8466,0.86509,0.75737,0.78881,0.33679,2.08229,1.23216,1.07287,0.007228,0.007228,0.007228
30,4731.31,0.98581,0.4863,0.848,0.85496,0.7585,0.77833,0.33617,2.08146,1.22805,1.04987,0.007129,0.007129,0.007129
31,4885.79,0.97162,0.48122,0.8468,0.87582,0.77165,0.8214,0.35763,2.02497,1.20041,1.04305,0.00703,0.00703,0.00703
32,5041.65,0.96209,0.47794,0.84732,0.86291,0.74607,0.77862,0.31792,2.11054,1.2569,1.05573,0.006931,0.006931,0.006931
33,5197.56,0.96283,0.47549,0.84542,0.86395,0.76705,0.80294,0.34414,2.07399,1.25005,1.06638,0.006832,0.006832,0.006832
34,5355.04,0.95027,0.47029,0.84397,0.87395,0.77365,0.81414,0.35972,2.02374,1.19743,1.05073,0.006733,0.006733,0.006733
35,5515.2,0.94619,0.46836,0.8429,0.83772,0.75453,0.77115,0.331,2.06571,1.24159,1.06359,0.006634,0.006634,0.006634
36,5677.41,0.94133,0.46504,0.84234,0.8531,0.75802,0.78482,0.33198,2.07896,1.24871,1.05399,0.006535,0.006535,0.006535
37,5839.51,0.94024,0.46544,0.84173,0.86049,0.75416,0.79533,0.33043,2.08625,1.27069,1.04702,0.006436,0.006436,0.006436
38,6004.43,0.9292,0.45911,0.84003,0.84586,0.75387,0.78064,0.33539,2.05716,1.26063,1.03902,0.006337,0.006337,0.006337
39,6162.33,0.92032,0.45517,0.83881,0.86896,0.77587,0.81379,0.35841,2.0383,1.22018,1.05355,0.006238,0.006238,0.006238
40,6317.8,0.91752,0.45263,0.83847,0.85935,0.75112,0.78331,0.33648,2.08059,1.26648,1.05289,0.006139,0.006139,0.006139
41,6480.15,0.91944,0.45332,0.83764,0.84246,0.74545,0.76262,0.32042,2.12954,1.29011,1.07331,0.00604,0.00604,0.00604
42,6645.27,0.91387,0.45133,0.83744,0.85815,0.7635,0.79354,0.3331,2.10653,1.2583,1.05875,0.005941,0.005941,0.005941
43,6804.25,0.90788,0.44849,0.83696,0.84073,0.75379,0.77839,0.32568,2.09175,1.27408,1.05198,0.005842,0.005842,0.005842
44,6963.21,0.90403,0.44744,0.83827,0.86564,0.76541,0.79782,0.33365,2.04631,1.21143,1.03851,0.005743,0.005743,0.005743
45,7121.11,0.90618,0.44861,0.83636,0.85809,0.75227,0.77938,0.33191,2.05581,1.25174,1.04365,0.005644,0.005644,0.005644
46,7280.12,0.89622,0.44412,0.83628,0.86054,0.765,0.79221,0.34107,2.05322,1.2621,1.04566,0.005545,0.005545,0.005545
47,7441.15,0.8824,0.43622,0.83541,0.86392,0.7627,0.79668,0.33669,2.07441,1.25467,1.05157,0.005446,0.005446,0.005446
48,7602.03,0.88504,0.43805,0.83449,0.87086,0.76799,0.79874,0.33897,2.06888,1.22626,1.05501,0.005347,0.005347,0.005347
49,7760.65,0.88407,0.43622,0.83524,0.86603,0.76381,0.79808,0.34081,2.0531,1.23599,1.04536,0.005248,0.005248,0.005248
50,7917.25,0.87951,0.43325,0.83255,0.85925,0.76266,0.79368,0.33757,2.05905,1.23992,1.04525,0.005149,0.005149,0.005149
51,8073.91,0.88686,0.43881,0.83622,0.87216,0.77723,0.81561,0.34641,2.03758,1.2051,1.041,0.00505,0.00505,0.00505
52,8230.41,0.87437,0.43296,0.83316,0.87697,0.76058,0.80425,0.33807,2.06145,1.21559,1.04572,0.004951,0.004951,0.004951
53,8390.3,0.8636,0.42725,0.83196,0.86668,0.76489,0.79653,0.3319,2.08566,1.23469,1.0589,0.004852,0.004852,0.004852
54,8547.19,0.86151,0.42494,0.83082,0.86482,0.7491,0.78594,0.32818,2.08793,1.28931,1.05335,0.004753,0.004753,0.004753
55,8706.21,0.86243,0.42633,0.83093,0.87573,0.76872,0.8049,0.33823,2.07622,1.24239,1.05495,0.004654,0.004654,0.004654
56,8865.43,0.85619,0.422,0.83156,0.8635,0.75272,0.78706,0.33003,2.07496,1.23884,1.04629,0.004555,0.004555,0.004555
57,9026.66,0.85071,0.42021,0.82905,0.86721,0.75658,0.79695,0.33008,2.07701,1.25407,1.04507,0.004456,0.004456,0.004456
