epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2516,3.57633,3.92198,1.28079,0.70253,0.20786,0.22768,0.07245,3.30697,2.61399,1.12192,0.000659259,0.000659259,0.000659259
2,35.2827,2.63058,1.82903,0.98525,0.79261,0.42626,0.49057,0.21155,2.38189,1.52117,0.9192,0.00131717,0.00131717,0.00131717
3,44.7,2.22155,1.37556,0.91237,0.89921,0.4981,0.6161,0.2762,2.10247,1.35077,0.87985,0.00196629,0.00196629,0.00196629
4,54.1848,2.10325,1.24787,0.90019,0.91831,0.56988,0.66433,0.29191,2.08757,1.30223,0.87236,0.0019604,0.0019604,0.0019604
5,63.6175,2.03393,1.15618,0.88656,0.89197,0.61745,0.71771,0.32329,1.91457,1.18988,0.85239,0.0019472,0.0019472,0.0019472
6,73.0717,2.02705,1.1246,0.87382,0.9046,0.60088,0.75181,0.33923,1.94069,1.08057,0.85379,0.001934,0.001934,0.001934
7,82.5002,1.97733,1.05702,0.88724,0.87851,0.66793,0.78752,0.34604,1.9714,1.06465,0.85767,0.0019208,0.0019208,0.0019208
8,91.9966,1.95574,1.06095,0.87161,0.90102,0.71529,0.82302,0.38027,1.89557,0.95296,0.85156,0.0019076,0.0019076,0.0019076
9,101.717,1.95432,1.05251,0.88917,0.91927,0.7072,0.8054,0.3599,1.96431,1.0163,0.85336,0.0018944,0.0018944,0.0018944
10,111.696,1.85011,0.96921,0.86556,0.87884,0.70787,0.82106,0.39044,1.80107,0.99667,0.83889,0.0018812,0.0018812,0.0018812
11,122.287,1.87029,0.92369,0.87867,0.75694,0.7894,0.82482,0.40625,1.78139,0.91097,0.83946,0.001868,0.001868,0.001868
12,132.184,1.87109,0.96285,0.87587,0.88208,0.73257,0.83106,0.39418,1.82081,0.93988,0.83816,0.0018548,0.0018548,0.0018548
13,141.804,1.87535,0.93761,0.86621,0.87494,0.74483,0.83097,0.38863,1.82077,0.89251,0.84286,0.0018416,0.0018416,0.0018416
14,151.36,1.8405,0.89903,0.8709,0.84416,0.80328,0.85082,0.40988,1.78997,0.87978,0.83784,0.0018284,0.0018284,0.0018284
15,160.937,1.77212,0.84347,0.87125,0.91669,0.73909,0.84575,0.41519,1.76184,0.87333,0.84077,0.0018152,0.0018152,0.0018152
16,170.813,1.80021,0.86971,0.86378,0.90387,0.76268,0.85592,0.41383,1.77059,0.84508,0.83425,0.001802,0.001802,0.001802
17,180.474,1.78263,0.8413,0.86567,0.94067,0.80101,0.8867,0.45344,1.70741,0.77651,0.83198,0.0017888,0.0017888,0.0017888
18,190.552,1.71341,0.82462,0.84855,0.92678,0.8365,0.88985,0.43902,1.72908,0.7503,0.8341,0.0017756,0.0017756,0.0017756
19,200.393,1.73203,0.82805,0.86141,0.90598,0.83052,0.86549,0.41075,1.85202,0.83509,0.8522,0.0017624,0.0017624,0.0017624
20,210.221,1.80419,0.87958,0.85629,0.91843,0.84191,0.89499,0.44648,1.75803,0.76037,0.83747,0.0017492,0.0017492,0.0017492
