epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.054,1.76445,1.5085,0.98063,0.7403,0.69325,0.65888,0.25593,2.23901,1.49671,1.05463,0.00333186,0.00333186,0.00333186
2,525.043,1.62913,0.98155,0.95403,0.78483,0.70828,0.71156,0.27753,2.25264,1.40061,1.07535,0.00659921,0.00659921,0.00659921
3,768.598,1.62859,0.91249,0.96298,0.84276,0.73859,0.7658,0.35726,2.00268,1.38538,1.05657,0.00980055,0.00980055,0.00980055
4,1012.42,1.59222,0.85666,0.9561,0.73941,0.68022,0.64095,0.2751,2.25258,1.46721,1.0812,0.009703,0.009703,0.009703
5,1258.34,1.50664,0.77582,0.94182,0.80264,0.74975,0.72503,0.31851,2.11321,1.31156,1.09437,0.009604,0.009604,0.009604
6,1502.63,1.45886,0.73952,0.93206,0.79093,0.71198,0.69292,0.30077,2.18738,1.48268,1.11476,0.009505,0.009505,0.009505
7,1746.17,1.41213,0.70616,0.91844,0.84987,0.74381,0.76575,0.36825,1.97686,1.27164,1.06643,0.009406,0.009406,0.009406
8,1992.24,1.3724,0.67753,0.91397,0.80298,0.71822,0.72102,0.31735,2.21392,1.39515,1.10301,0.009307,0.009307,0.009307
9,2234.84,1.35014,0.66476,0.9092,0.82435,0.73112,0.72188,0.31941,2.1313,1.34824,1.08126,0.009208,0.009208,0.009208
10,2488.04,1.30764,0.63501,0.89929,0.81941,0.70906,0.72292,0.31063,2.11999,1.51316,1.07122,0.009109,0.009109,0.009109
11,2729.96,1.2767,0.6217,0.8954,0.83069,0.7436,0.76155,0.33771,2.09541,1.35065,1.07684,0.00901,0.00901,0.00901
12,2969.55,1.2623,0.61178,0.89182,0.83964,0.74989,0.74933,0.326,2.11309,1.29311,1.07448,0.008911,0.008911,0.008911
13,3203.09,1.23053,0.59489,0.88433,0.84679,0.76155,0.77105,0.33003,2.07704,1.28573,1.06088,0.008812,0.008812,0.008812
14,3431.07,1.20885,0.58475,0.88201,0.82268,0.73396,0.7381,0.31063,2.11033,1.35268,1.06411,0.008713,0.008713,0.008713
15,3665.39,1.19311,0.57484,0.87895,0.86464,0.76459,0.77427,0.34107,2.07684,1.26033,1.06933,0.008614,0.008614,0.008614
16,3898.13,1.1681,0.55945,0.87373,0.83206,0.73124,0.73152,0.31011,2.15751,1.35177,1.10361,0.008515,0.008515,0.008515
17,4128.43,1.15403,0.55603,0.87193,0.83239,0.72644,0.73144,0.30042,2.14895,1.35634,1.08041,0.008416,0.008416,0.008416
18,4364.83,1.12828,0.54123,0.86947,0.85816,0.76431,0.76982,0.33302,2.10255,1.36093,1.08684,0.008317,0.008317,0.008317
19,4601.46,1.12021,0.53932,0.86601,0.83727,0.72756,0.73351,0.31746,2.1761,1.36948,1.119,0.008218,0.008218,0.008218
20,4837.98,1.10324,0.53132,0.8634,0.86687,0.75816,0.77374,0.3157,2.17971,1.34863,1.10242,0.008119,0.008119,0.008119
21,5074.36,1.08133,0.51912,0.86195,0.84503,0.74077,0.7393,0.30613,2.20618,1.33688,1.11783,0.00802,0.00802,0.00802
22,5310.43,1.06944,0.51395,0.85876,0.84924,0.74516,0.76233,0.31605,2.17009,1.29166,1.08959,0.007921,0.007921,0.007921
23,5547.94,1.05417,0.50612,0.85699,0.83304,0.74184,0.75191,0.31436,2.13545,1.33882,1.06265,0.007822,0.007822,0.007822
24,5787.27,1.04426,0.50477,0.85544,0.85312,0.75334,0.78752,0.33601,2.11973,1.29976,1.0716,0.007723,0.007723,0.007723
25,6024.42,1.02443,0.49284,0.85263,0.85059,0.74914,0.76953,0.32524,2.1546,1.29917,1.08723,0.007624,0.007624,0.007624
