epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2385,3.13885,3.23868,1.19363,0.27626,0.09319,0.08999,0.02392,3.58143,3.2526,1.07243,0.000659259,0.000659259,0.000659259
2,34.2893,2.40742,1.49106,0.94245,0.79073,0.28674,0.32674,0.10774,2.87256,2.55704,0.94082,0.00131936,0.00131936,0.00131936
3,43.8189,2.15068,1.23037,0.90166,0.77609,0.26344,0.33465,0.12659,2.7854,2.4848,0.94173,0.00197287,0.00197287,0.00197287
4,53.0465,2.04173,1.12011,0.89355,0.78656,0.34343,0.43075,0.1629,2.59373,2.00813,0.89288,0.0019703,0.0019703,0.0019703
5,62.149,1.97972,1.03502,0.87911,0.71397,0.24373,0.3471,0.14077,2.65299,2.66603,0.90969,0.0019604,0.0019604,0.0019604
6,71.2511,1.93744,0.99429,0.86683,0.56647,0.54326,0.46884,0.177,2.46195,1.70122,0.89309,0.0019505,0.0019505,0.0019505
7,80.5014,1.86759,0.95458,0.87185,0.86421,0.40681,0.52808,0.20635,2.41399,1.71534,0.88871,0.0019406,0.0019406,0.0019406
8,89.7078,1.84808,0.929,0.86211,0.43999,0.56603,0.47062,0.18887,2.42773,1.82216,0.90064,0.0019307,0.0019307,0.0019307
9,98.6964,1.87209,0.91248,0.87509,0.55898,0.5656,0.51952,0.2056,2.46152,1.64186,0.8974,0.0019208,0.0019208,0.0019208
10,107.847,1.85415,0.90468,0.86169,0.81095,0.39785,0.46492,0.18375,2.38676,1.98323,0.8862,0.0019109,0.0019109,0.0019109
11,116.937,1.80258,0.87536,0.86663,0.52206,0.49462,0.44711,0.17602,2.60525,2.15657,0.9034,0.001901,0.001901,0.001901
12,126.113,1.77619,0.86747,0.86241,0.89232,0.47525,0.61803,0.2548,2.24789,1.42746,0.87162,0.0018911,0.0018911,0.0018911
13,135.324,1.74932,0.84231,0.84809,0.80665,0.5,0.57104,0.23682,2.37872,1.51358,0.8777,0.0018812,0.0018812,0.0018812
14,144.458,1.73875,0.81714,0.85554,0.87536,0.55378,0.63628,0.26772,2.26845,1.24668,0.8658,0.0018713,0.0018713,0.0018713
15,153.705,1.69039,0.77703,0.86018,0.86819,0.57706,0.6614,0.27587,2.19865,1.31472,0.85999,0.0018614,0.0018614,0.0018614
16,162.808,1.7698,0.81781,0.85742,0.85263,0.62545,0.6865,0.27441,2.19994,1.25405,0.85741,0.0018515,0.0018515,0.0018515
17,172.138,1.76542,0.81843,0.85267,0.84842,0.55556,0.62371,0.24826,2.28962,1.29814,0.86805,0.0018416,0.0018416,0.0018416
18,181.266,1.67566,0.75615,0.84869,0.85965,0.52689,0.62916,0.26029,2.27948,1.3247,0.86861,0.0018317,0.0018317,0.0018317
19,190.343,1.71401,0.76959,0.8512,0.86218,0.62783,0.66449,0.26076,2.22318,1.25803,0.86259,0.0018218,0.0018218,0.0018218
