epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6235,3.43654,3.96947,1.34429,0.60911,0.37444,0.39093,0.14257,2.61962,1.90444,0.98035,0.000657778,0.000657778,0.000657778
2,33.795,2.66737,1.90644,1.01818,0.7834,0.48271,0.55482,0.21677,2.29138,1.46229,0.90688,0.00131133,0.00131133,0.00131133
3,42.2025,2.39909,1.59878,0.93607,0.93869,0.6782,0.7558,0.33275,2.01628,1.25303,0.88018,0.00195169,0.00195169,0.00195169
4,50.0667,2.32779,1.48419,0.91834,0.91556,0.76241,0.83779,0.37392,1.93679,1.07951,0.86407,0.0019406,0.0019406,0.0019406
5,58.0899,2.24927,1.34432,0.90733,0.95119,0.81353,0.89791,0.4191,1.83686,0.89327,0.85575,0.0019208,0.0019208,0.0019208
6,66.163,2.13491,1.19524,0.89236,0.88052,0.83112,0.87259,0.41348,1.7926,0.93953,0.84365,0.001901,0.001901,0.001901
7,74.1523,2.12604,1.19185,0.8927,0.95525,0.85414,0.91945,0.45157,1.72533,0.84583,0.84378,0.0018812,0.0018812,0.0018812
8,81.9294,1.99722,1.10339,0.88818,0.96368,0.83798,0.9199,0.44496,1.67502,0.79425,0.83339,0.0018614,0.0018614,0.0018614
9,90.1875,1.99292,1.06103,0.87577,0.9624,0.88271,0.92377,0.46791,1.64751,0.76538,0.83478,0.0018416,0.0018416,0.0018416
10,98.6261,2.01544,1.10269,0.87688,0.91523,0.87677,0.92837,0.47459,1.62046,0.75324,0.825,0.0018218,0.0018218,0.0018218
11,106.614,1.97789,1.01556,0.88749,0.89872,0.88271,0.92232,0.44213,1.76037,0.75876,0.84662,0.001802,0.001802,0.001802
12,115.939,2.02302,1.0371,0.88185,0.95901,0.89023,0.93597,0.45614,1.68604,0.73841,0.83727,0.0017822,0.0017822,0.0017822
13,124.772,1.90323,0.93187,0.87539,0.96596,0.8962,0.94366,0.4705,1.63053,0.7154,0.83466,0.0017624,0.0017624,0.0017624
14,133.575,1.89942,0.96662,0.87364,0.95585,0.9203,0.94586,0.48249,1.61088,0.6958,0.82927,0.0017426,0.0017426,0.0017426
