epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2467,3.90645,5.72856,1.53025,0.37605,0.16406,0.13919,0.03854,2.98035,4.2387,0.97913,0.000647619,0.000647619,0.000647619
2,30.6422,3.01254,2.33117,1.16658,0.67011,0.17188,0.17879,0.03919,3.5308,2.92181,1.04679,0.00130127,0.00130127,0.00130127
3,34.6888,2.54861,1.78332,1.04788,0.92302,0.26562,0.33007,0.11887,2.71048,1.94034,0.90536,0.00194173,0.00194173,0.00194173
4,38.7334,2.43173,1.53764,0.96319,0.84698,0.43247,0.44849,0.16262,2.57872,1.62654,0.89925,0.0019406,0.0019406,0.0019406
5,42.5495,2.26194,1.34134,0.9506,0.80629,0.42275,0.47598,0.18052,2.70834,1.57938,0.94695,0.0019208,0.0019208,0.0019208
6,46.3322,2.31884,1.38205,0.95308,0.83488,0.50781,0.53549,0.20096,2.63595,1.67744,0.92952,0.001901,0.001901,0.001901
7,50.162,2.07047,1.16393,0.90335,0.83961,0.53906,0.53079,0.19967,2.5958,2.00011,0.92242,0.0018812,0.0018812,0.0018812
8,53.9272,2.05016,1.11795,0.91881,0.90729,0.57031,0.57772,0.21734,2.29744,1.76526,0.85295,0.0018614,0.0018614,0.0018614
9,57.7114,1.99469,1.07016,0.89927,0.88888,0.57031,0.59775,0.22066,2.31867,1.82166,0.84813,0.0018416,0.0018416,0.0018416
10,61.3553,2.00457,1.03335,0.89215,0.88667,0.57031,0.60326,0.2311,2.34502,1.57322,0.86361,0.0018218,0.0018218,0.0018218
11,65.1369,2.01267,1.10012,0.90051,0.89061,0.5625,0.60964,0.2408,2.27238,1.5671,0.86498,0.001802,0.001802,0.001802
12,68.7389,2.04092,1.16696,0.87998,0.87282,0.55469,0.56622,0.23514,2.26305,1.45036,0.87927,0.0017822,0.0017822,0.0017822
13,72.4496,1.98758,1.15304,0.89014,0.89878,0.60156,0.61147,0.23645,2.34097,1.45724,0.87716,0.0017624,0.0017624,0.0017624
14,76.2069,1.95455,1.02503,0.89179,0.91524,0.60156,0.64965,0.24655,2.31669,1.38199,0.88795,0.0017426,0.0017426,0.0017426
15,79.8672,1.91574,1.01484,0.87737,0.80762,0.64062,0.65965,0.23981,2.34168,1.28759,0.87802,0.0017228,0.0017228,0.0017228
16,83.5579,1.85026,0.96228,0.88316,0.83818,0.64747,0.66811,0.27003,2.23284,1.19361,0.87956,0.001703,0.001703,0.001703
17,87.2819,1.80133,0.88878,0.86701,0.90598,0.60227,0.66847,0.27513,2.18633,1.18559,0.89109,0.0016832,0.0016832,0.0016832
18,91.4268,1.85253,0.98291,0.87606,0.87498,0.625,0.68256,0.28026,2.2137,1.1615,0.89491,0.0016634,0.0016634,0.0016634
19,95.1122,1.81975,0.91356,0.87313,0.87011,0.67188,0.69963,0.26956,2.32171,1.18492,0.90357,0.0016436,0.0016436,0.0016436
20,99.023,1.82858,0.89547,0.89142,0.8996,0.70002,0.71482,0.29936,2.19028,1.24127,0.87196,0.0016238,0.0016238,0.0016238
21,102.717,1.87081,1.01383,0.89579,0.90462,0.69531,0.72446,0.2959,2.18475,1.25834,0.86328,0.001604,0.001604,0.001604
22,106.475,1.7943,0.88561,0.87618,0.8222,0.72259,0.74503,0.31642,2.02779,1.21209,0.83583,0.0015842,0.0015842,0.0015842
23,110.132,1.90487,1.01272,0.87494,0.80918,0.71094,0.72326,0.26539,2.22808,1.2447,0.85585,0.0015644,0.0015644,0.0015644
