epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,713.398,2.02761,1.32976,1.25674,0.91669,0.83568,0.88475,0.47533,1.60996,0.87922,1.09886,0.00333228,0.00333228,0.00333228
2,1393.49,1.5873,0.87507,1.07402,0.91713,0.85448,0.9116,0.48928,1.48135,0.77052,1.03918,0.00659962,0.00659962,0.00659962
3,2067.4,1.52425,0.80246,1.05047,0.95455,0.91658,0.95187,0.57617,1.34708,0.68195,1.00376,0.00980096,0.00980096,0.00980096
4,2736.39,1.48101,0.76743,1.03158,0.95923,0.91988,0.95764,0.57357,1.37055,0.63684,1.00592,0.009703,0.009703,0.009703
5,3406.62,1.42325,0.71958,1.01579,0.96459,0.93563,0.97,0.59984,1.26113,0.57713,0.97412,0.009604,0.009604,0.009604
6,4077.95,1.38251,0.68769,1.00508,0.96552,0.94439,0.97275,0.60515,1.22556,0.56395,0.96493,0.009505,0.009505,0.009505
7,4750.17,1.34291,0.65623,0.99488,0.96017,0.92537,0.96625,0.61633,1.22248,0.57025,0.96065,0.009406,0.009406,0.009406
8,5420.89,1.31057,0.64319,0.98369,0.97403,0.95259,0.97771,0.65,1.13695,0.53434,0.94622,0.009307,0.009307,0.009307
9,6091.14,1.27534,0.61393,0.97618,0.97537,0.95593,0.97987,0.6665,1.10716,0.50694,0.93657,0.009208,0.009208,0.009208
10,6762.82,1.24699,0.60259,0.96733,0.97709,0.95811,0.98081,0.67914,1.06541,0.50561,0.92866,0.009109,0.009109,0.009109
11,7436.44,1.22955,0.59203,0.96428,0.97564,0.95339,0.98133,0.67699,1.08426,0.47961,0.92905,0.00901,0.00901,0.00901
12,8104.69,1.20262,0.57687,0.95715,0.98062,0.95923,0.98553,0.69359,1.0294,0.4653,0.91466,0.008911,0.008911,0.008911
13,8775.36,1.19111,0.5717,0.95304,0.98077,0.96318,0.98464,0.706,1.00405,0.45418,0.91288,0.008812,0.008812,0.008812
14,9447.51,1.16151,0.55422,0.94446,0.98097,0.96326,0.9869,0.71635,0.98112,0.43703,0.9073,0.008713,0.008713,0.008713
15,10120.2,1.14947,0.54946,0.94184,0.98174,0.96392,0.98679,0.73087,0.93521,0.42413,0.89815,0.008614,0.008614,0.008614
16,10791.1,1.13467,0.54162,0.93865,0.98419,0.96546,0.98802,0.73537,0.92666,0.4173,0.89769,0.008515,0.008515,0.008515
17,11462.2,1.12253,0.53447,0.93873,0.98475,0.96633,0.98867,0.73536,0.92367,0.41579,0.8941,0.008416,0.008416,0.008416
18,12133.7,1.10439,0.52713,0.93227,0.98536,0.96736,0.98951,0.74424,0.89453,0.40481,0.88985,0.008317,0.008317,0.008317
19,12806.3,1.09803,0.52373,0.93047,0.98444,0.96913,0.99026,0.75417,0.87716,0.39647,0.88616,0.008218,0.008218,0.008218
20,13474.8,1.08461,0.51547,0.92665,0.98321,0.9692,0.98984,0.75505,0.86886,0.39482,0.88357,0.008119,0.008119,0.008119
21,14145.7,1.06533,0.50859,0.92263,0.98355,0.96968,0.99102,0.76092,0.85389,0.38775,0.87912,0.00802,0.00802,0.00802
22,14815.5,1.06303,0.5075,0.92464,0.98403,0.97118,0.99105,0.75955,0.84887,0.38282,0.87785,0.007921,0.007921,0.007921
23,15485.1,1.05002,0.49934,0.9187,0.98339,0.97214,0.99168,0.77282,0.82991,0.37572,0.87485,0.007822,0.007822,0.007822
24,16154.5,1.04337,0.49759,0.91778,0.98597,0.97184,0.99184,0.77161,0.83026,0.37311,0.87435,0.007723,0.007723,0.007723
25,16822.8,1.03478,0.49205,0.91518,0.9846,0.9718,0.9918,0.7799,0.80545,0.36831,0.86979,0.007624,0.007624,0.007624
26,17494.7,1.02629,0.48777,0.91356,0.98437,0.97206,0.99202,0.77954,0.80191,0.36228,0.86893,0.007525,0.007525,0.007525
