epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.667,3.45113,3.89123,1.26234,0.47633,0.21926,0.20346,0.05326,3.29603,2.35052,1.00602,0.000659259,0.000659259,0.000659259
2,35.3504,2.57488,1.79599,0.97535,0.66379,0.49046,0.52863,0.17316,2.36459,1.55841,0.89943,0.00131717,0.00131717,0.00131717
3,46.2879,2.50922,1.6412,0.94292,0.76399,0.5785,0.62428,0.2564,2.25097,1.38941,0.88823,0.00196629,0.00196629,0.00196629
4,56.927,2.28876,1.40275,0.91864,0.91122,0.59841,0.69318,0.29281,2.0754,1.23892,0.8731,0.0019604,0.0019604,0.0019604
5,67.9004,2.2522,1.37451,0.91604,0.7898,0.66033,0.72516,0.32154,2.02981,1.16903,0.87014,0.0019472,0.0019472,0.0019472
6,78.7199,2.2111,1.307,0.90378,0.92263,0.68017,0.78087,0.33495,1.96905,1.09237,0.8652,0.001934,0.001934,0.001934
7,89.5359,2.12672,1.22047,0.89939,0.80833,0.64141,0.72076,0.31403,1.96105,1.27643,0.85624,0.0019208,0.0019208,0.0019208
8,100.206,2.04877,1.16006,0.89189,0.91912,0.77313,0.82335,0.34972,1.96892,0.97022,0.85803,0.0019076,0.0019076,0.0019076
9,110.823,2.00138,1.05792,0.87735,0.85669,0.78795,0.83184,0.3493,1.9881,0.91522,0.86235,0.0018944,0.0018944,0.0018944
10,122.347,2.05638,1.12149,0.88119,0.87293,0.78327,0.83492,0.37764,1.87548,0.87438,0.84801,0.0018812,0.0018812,0.0018812
11,133.237,2.00748,1.07943,0.88746,0.85781,0.79518,0.83862,0.39372,1.83155,0.88624,0.84564,0.001868,0.001868,0.001868
12,144.019,1.88876,0.97509,0.87359,0.91222,0.83143,0.87605,0.41192,1.81072,0.81681,0.84586,0.0018548,0.0018548,0.0018548
13,154.922,1.92544,1.01675,0.87302,0.91064,0.78785,0.86796,0.42331,1.76595,0.80748,0.83808,0.0018416,0.0018416,0.0018416
14,165.625,1.95812,1.03029,0.87372,0.92906,0.75919,0.86383,0.40651,1.80469,0.82632,0.83626,0.0018284,0.0018284,0.0018284
15,176.424,1.90367,0.99097,0.87884,0.94333,0.7806,0.87524,0.40802,1.79926,0.82961,0.83818,0.0018152,0.0018152,0.0018152
16,187.362,1.91855,1.00866,0.87603,0.90808,0.8289,0.88943,0.42629,1.7941,0.77748,0.84026,0.001802,0.001802,0.001802
17,198.192,1.88309,0.96154,0.86747,0.92819,0.81916,0.8813,0.43107,1.7543,0.80824,0.83619,0.0017888,0.0017888,0.0017888
18,209.206,1.83771,0.94551,0.87066,0.94887,0.81242,0.88497,0.43802,1.69781,0.76336,0.83038,0.0017756,0.0017756,0.0017756
19,220.131,1.85893,0.95734,0.859,0.93196,0.79468,0.88871,0.45149,1.70434,0.7832,0.83429,0.0017624,0.0017624,0.0017624
20,231.024,1.83155,0.92156,0.85673,0.9355,0.86397,0.9039,0.45094,1.70064,0.75394,0.8285,0.0017492,0.0017492,0.0017492
21,242.119,1.86889,0.94234,0.8547,0.96562,0.81866,0.89507,0.44921,1.6591,0.77987,0.82526,0.001736,0.001736,0.001736
22,253.126,1.83654,0.93135,0.85747,0.95304,0.87072,0.90131,0.46257,1.67007,0.73264,0.8283,0.0017228,0.0017228,0.0017228
23,263.976,1.92406,0.95127,0.86573,0.93164,0.83143,0.89569,0.4435,1.70129,0.75373,0.83076,0.0017096,0.0017096,0.0017096
24,274.833,1.84451,0.92882,0.85863,0.92715,0.86058,0.90414,0.46656,1.70558,0.73395,0.83028,0.0016964,0.0016964,0.0016964
25,285.678,1.79732,0.87729,0.85386,0.94333,0.86312,0.90438,0.45612,1.67828,0.73936,0.82729,0.0016832,0.0016832,0.0016832
26,296.765,1.83123,0.9205,0.8555,0.93176,0.88261,0.91502,0.45231,1.70253,0.72014,0.82968,0.00167,0.00167,0.00167
27,307.85,1.81236,0.94415,0.85799,0.96968,0.85805,0.91526,0.47216,1.63819,0.70246,0.82571,0.0016568,0.0016568,0.0016568
28,318.646,1.79315,0.88698,0.8496,0.95237,0.88213,0.91476,0.46706,1.62489,0.70038,0.82655,0.0016436,0.0016436,0.0016436
29,329.735,1.81095,0.89137,0.86175,0.95388,0.865,0.92502,0.45033,1.69854,0.71629,0.82727,0.0016304,0.0016304,0.0016304
30,340.569,1.84459,0.91398,0.86714,0.95757,0.86565,0.92143,0.4682,1.6271,0.70629,0.82223,0.0016172,0.0016172,0.0016172
31,351.366,1.78208,0.85593,0.85347,0.94718,0.85298,0.90767,0.45777,1.63581,0.72162,0.82687,0.001604,0.001604,0.001604
32,362.142,1.78682,0.86487,0.85152,0.93734,0.85932,0.91585,0.46669,1.63955,0.69292,0.82503,0.0015908,0.0015908,0.0015908
33,372.869,1.7612,0.87789,0.84082,0.96433,0.85805,0.91705,0.47643,1.59324,0.6908,0.82267,0.0015776,0.0015776,0.0015776
34,383.754,1.71739,0.84297,0.84867,0.93344,0.87089,0.9064,0.46888,1.65589,0.69594,0.8256,0.0015644,0.0015644,0.0015644
35,394.706,1.78539,0.87976,0.85662,0.94395,0.87508,0.91396,0.47415,1.60346,0.67637,0.82604,0.0015512,0.0015512,0.0015512
