epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.014,3.67922,5.47558,1.48133,0.13451,0.17188,0.05973,0.01694,3.15942,2.96127,0.99323,0.000647619,0.000647619,0.000647619
2,17.6623,3.06874,2.2093,1.18944,0.91155,0.24155,0.27344,0.09552,2.82878,2.36284,0.9559,0.00130127,0.00130127,0.00130127
3,21.4186,2.74373,1.95452,1.02072,0.80556,0.29133,0.30474,0.10783,2.98909,2.1127,0.93121,0.00194173,0.00194173,0.00194173
4,25.0992,2.51639,1.67992,0.99541,0.91856,0.35247,0.38858,0.13514,2.67677,1.84524,0.91727,0.0019406,0.0019406,0.0019406
5,28.6396,2.42013,1.52522,0.97734,0.74222,0.36719,0.40472,0.17585,2.40143,1.70521,0.88191,0.0019208,0.0019208,0.0019208
6,32.3209,2.27205,1.39265,0.95501,0.7833,0.48011,0.5021,0.16507,2.66853,1.89622,0.91616,0.001901,0.001901,0.001901
7,35.9585,2.25589,1.28889,0.93817,0.86517,0.50132,0.52108,0.20005,2.36388,1.80058,0.87207,0.0018812,0.0018812,0.0018812
8,39.6751,2.04197,1.23485,0.91054,0.78821,0.53125,0.52533,0.18413,2.47149,1.78822,0.88301,0.0018614,0.0018614,0.0018614
9,43.3333,2.04607,1.16317,0.90981,0.89816,0.53125,0.62032,0.25023,2.18038,1.59692,0.84554,0.0018416,0.0018416,0.0018416
10,46.9527,2.09816,1.17174,0.90088,0.89817,0.55129,0.63611,0.24218,2.32005,1.51014,0.86556,0.0018218,0.0018218,0.0018218
11,50.5614,2.05813,1.11561,0.91732,0.86969,0.57355,0.64827,0.25883,2.25423,1.51391,0.8561,0.001802,0.001802,0.001802
12,54.1597,1.96567,1.08002,0.88769,0.81586,0.58846,0.66821,0.25456,2.22179,1.39357,0.84829,0.0017822,0.0017822,0.0017822
13,57.7458,1.95287,1.0587,0.89763,0.78898,0.59375,0.63813,0.2573,2.15632,1.48251,0.83999,0.0017624,0.0017624,0.0017624
14,61.2921,1.94703,1.01634,0.88518,0.79732,0.58395,0.58692,0.25004,2.04034,1.57262,0.82692,0.0017426,0.0017426,0.0017426
15,64.9038,1.93646,1.02776,0.87992,0.83353,0.58679,0.64625,0.26799,2.02106,1.46696,0.82987,0.0017228,0.0017228,0.0017228
16,68.5224,1.88211,0.92232,0.90016,0.81528,0.68966,0.72495,0.2925,2.03414,1.32964,0.82866,0.001703,0.001703,0.001703
17,72.1959,1.85812,0.92665,0.89547,0.89334,0.69531,0.77679,0.31112,2.02064,1.37046,0.82467,0.0016832,0.0016832,0.0016832
18,75.8017,1.8891,0.9903,0.87739,0.86703,0.66226,0.6892,0.27569,2.06684,1.48672,0.83359,0.0016634,0.0016634,0.0016634
19,79.4572,1.89279,0.93726,0.88467,0.86543,0.6875,0.69096,0.29312,2.00757,1.41793,0.8311,0.0016436,0.0016436,0.0016436
